ID,table,diagnosis Year,Age Specific Incidence Age0_49,age Specific Incidence  Age 0-54,ageSpecificIncidenceAge 55-59,age SpecificIncidence Age60-64,ageSpecificIncidenceAge65_69,age Spes IncidenceAge70-74,Age_Specific_IncidenceAge75_79,Age80_84,Age85_89,Age 90
1,All Oral Cavity,All Years,,,,,,,,,,
2,All Oral Cavity,2016,1.0226257,7.1519032,11.546455,14.977962,15.698924,,18.930473,18.508072,20.708221,20.908237
3,All Oral Cavity,2017,1.1054269,7.7797451,10.903189,13.126522,16.235617,16.384249,14.734702,17.668417,16.770851,18.774832
4,All Oral Cavity,2018,0.97927344,7.1045599,10.339744,13.697983,15.216359,16.599554,17.230083,16.623766,18.70484,22.232193
5,All Oral,,0.8994543,6.5189319,9.9068785,12.557129,18.081358,17.912762,18.943886,19.327847,20.068048,23.00526
6,All Oral,2020,0.80034059,6.8461018,9.9605932,12.894961,15.298739,16.424881,16.835621,17.944742,18.093088,20.342873
7,All Oral,2021,0.95195967,7.5817986,10.923052,14.419145,17.676083,21.146894,20.144676,21.325695,20.134026,23.083567
8,All Oral,2022,0.78137797,6.2577338,10.040814,12.17867,14.979317,16.031187,15.924543,18.173906,16.268335,18.060356
9,All Oral,,0.77573627,6.6766615,8.4960737,11.235251,14.053822,16.258579,15.802672,17.853943,17.826979,18.642948
,,,,,,,,,,,,
11,Male,All Years,,,,,,,,,,
12,Male,2016,1.202866,9.7824678,14.367653,19.420788,19.516136,22.946165,21.743542,22.25193,19.134916,26.462027
13,Male,2017,1.3097728,10.54518,13.880425,16.878119,20.305449,19.820639,16.676554,18.534218,15.597055,19.564623
14,Male,2018,1.2403677,9.9462852,13.36164,18.575724,19.631411,19.456831,18.134584,17.031612,19.393246,20.914139
15,Male,2019,1.0542537,8.8791761,13.001778,16.315916,22.54039,21.552431,23.07827,23.313522,18.058445,21.054657
16,Male,2020,1.0192791,9.1122475,13.026225,15.92529,20.96941,20.859316,18.854622,20.46456,17.801275,21.232925
17,Male,2021,1.0412623,9.7477789,12.767071,19.333611,22.216566,25.008053,24.203922,21.122475,22.774132,28.706848
18,Male,2022,0.91620541,7.9297414,13.154453,17.103523,19.063644,19.50845,18.721739,19.754528,18.999544,20.095394
19,Male,2023,1.0519396,8.2490597,10.481636,14.252936,18.149153,20.618687,19.155111,19.468231,20.406919,21.277475
20,,,,,,,,,,,,
21,Female,All Years,,,,,,,,,,
22,Female,2016,0.83847058,4.5882974,8.7861061,10.706867,12.103925,13.426121,16.525272,15.634443,21.695713,18.504105
23,,2017,0.89651692,5.085845,7.9941473,9.5018282,12.398749,13.203531,13.045603,16.97731,17.555721,18.426117
24,Female,,0.71211565,4.3377142,7.3948169,8.9812613,11.060328,13.959566,16.438299,16.296196,18.23629,22.841213
25,Female,2019,0.74090785,4.2208858,6.8970165,8.9241076,13.875294,14.559019,15.308831,16.11109,21.462912,23.928965
26,Female,,0.5753991,4.6397843,6.9864869,9.9701662,9.9407873,12.351408,15.05654,15.912334,18.297729,19.913574
27,,2021,0.86330605,5.4833999,9.1407213,9.6567688,13.368674,17.618279,16.56196,21.489037,18.273075,20.210363
28,Female,2022,0.64721036,4.638525,7.0342422,7.4200029,11.097726,12.848292,13.456995,16.896076,14.328366,17.064699
29,Female,,0.50088453,5.1539164,6.5787873,8.319397,10.161773,12.267578,12.845313,16.548895,15.994455,17.353931
30,,,,,,,,,,,,
31,ILS1 (most likely),All Years,,,,,,,,,,
32,ILS1 (most likely),2016,1.1788837,10.106435,14.999427,21.586397,20.993931,24.403797,18.798933,18.949972,20.90049,12.562814
33,ILS1 (most likely),2017,1.2376099,14.98354,19.090042,21.036629,28.132624,23.528059,15.989529,19.38341,20.825657,20.821188
34,ILS1 (most likely),2018,1.0937349,10.888594,16.342409,24.877253,20.903532,19.461138,23.036167,14.744551,15.265703,15.438163
35,ILS1 (most likely),2019,1.1822348,7.7397528,16.833717,18.192936,27.347229,30.817907,27.166033,18.422634,20.065495,12.384753
36,ILS1 (most likely),2020,1.0298994,10.712872,13.880277,19.450266,19.333271,19.647306,23.02194,18.619692,19.515209,19.61059
37,ILS1 (most likely),2021,1.5076026,10.628247,14.80289,22.295591,19.820402,19.446732,20.316044,16.207903,15.004668,10.45528
38,ILS1 (most likely),2022,0.84421009,9.8252506,13.869114,17.468729,23.092505,20.255003,19.843714,23.041721,16.640013,11.874722
39,ILS1 (most likely),2023,1.0488671,9.5445299,15.639639,18.333517,21.113146,19.728899,22.238646,16.611473,22.186682,25.233784
40,,,,,,,,,,,,
41,ILS2,All Years,,,,,,,,,,
42,ILS2,2016,1.0436959,9.6875753,15.257691,18.101599,20.354954,18.815855,17.511547,20.179428,23.83017,15.804922
43,ILS2,2017,1.0930308,8.1152954,12.511909,14.645708,16.130953,19.334621,18.338188,16.175592,17.695404,13.483752
44,ILS2,2018,1.0511407,10.71705,11.117401,16.410299,15.806266,20.638254,21.654066,17.10244,26.282246,16.835773
45,ILS2,2019,0.94755661,6.9957299,10.531949,15.50924,19.162333,19.321222,22.830847,17.58572,22.135994,21.800028
46,ILS2,2020,0.97321755,8.0807438,11.108303,16.340813,19.951569,20.402792,19.388538,21.96319,19.543974,23.994415
47,ILS2,2021,1.2018371,8.7850075,11.321438,15.926202,20.96077,20.362598,20.300251,18.785866,20.043524,18.833138
48,ILS2,2022,0.87805635,6.583199,12.59439,12.830524,19.214832,16.652933,21.860283,18.881477,20.961809,19.400635
