,specsies,island,bill_len,depth_of_bill,flipper_length_mm,g,sex,YEAR
57,A,B,40.6,18.8 mm,193.0,3800.0,male,2008
45,A,D,39.6,18.8 mm,190.0,4600.0,male,2007
145,A,D,39.0,18.7 mm,185.0,3650.0,male,2009
33,A,Dream,40.9,18.9 mm,184.0,3900.0,mal,2007
39,A,Dream,39.8,19.1 mm,184.0,4650.0,male,2007
90,A,Dream,35.7,18.0 mm,202.0,3550.0,female,2008
143,A,Dream,40.7,17.0 mm,190.0,3725.0,m,2009
137,A,Dream,40.2,20.1 mm,200.0,3975.0,male,2009
139,A,Dream,39.7,17.9 mm,193.0,4250.0,male,2009
9,A,T,42.0,20.2 mm,190.0,4250.0,,2007
3,A,T,,,,,,2007
7,A,Tor,39.2,19.6 mm,195.0,4675.0,mal,2007
124,A,Torgersen,35.2,15.9 mm,186.0,3050.0,female,9
82,A,Torgersen,36.7,18.8 mm,187.0,3800.0,f,2008
78,A,Torgersen,36.2,16.1 mm,187.0,3550.0,female,2008
66,Ade,B,35.5,16.2 mm,195.0,3350.0,female,2008
55,Ade,Biscoe,41.4,18.6 mm,191.0,3700.0,male,2008
113,Adelei,B,42.2,19.5 mm,197.0,4275.0,m,9
110,Adelei,B,38.1,16.5 mm,198.0,3825.0,female,2009
109,Adelei,B,43.2,19.0 mm,197.0,4775.0,male,2009
73,Adelei,T,45.8,18.9 mm,197.0,4150.0,male,2008
25,Adelie,B,35.3,18.9 mm,187.0,3800.0,female,2007
24,Adelie,Biscoe,38.8,17.2 mm,180.0,3800.0,male,2007
60,Adelie,Biscoe,35.7,16.9 mm,185.0,3150.0,female,2008
63,Adelie,Biscoe,41.1,18.2 mm,192.0,4050.0,male,2008
114,Adelie,Biscoe,39.6,20.7 mm,191.0,3900.0,fem,2009
104,Adelie,Biscoe,37.9,18.6 mm,193.0,2925.0,female,2009
101,Adelie,Biscoe,41.0,20.0 mm,203.0,4725.0,male,2009
84,Adelie,D,37.3,17.8 mm,191.0,3350.0,female,2008
94,Adelie,D,36.2,17.3 mm,187.0,3300.0,female,2008
132,Adelie,Dream,36.8,18.5 mm,193.0,3500.0,female,9
