,word,freq
0,understanding,2
1,cleaned,2
2,information,24
3,within,2
4,they,3
5,over,2
6,any,5
7,makes,2
8,in,21
9,somebody,3
10,renamed,2
11,collaborators,2
12,to,58
13,which,10
14,can,14
15,my,2
16,units,2
17,access,4
18,share,4
19,marine,3
20,people,7
21,ask,2
22,collection,5
23,available,3
24,save,2
25,browser,2
26,be,23
27,does,3
28,are,5
29,restrictions,2
30,conditions,2
31,contain,3
32,us,2
33,dictionaries,3
34,by,8
35,think,2
36,when,12
37,do,7
38,callout,4
39,incidence,3
40,is,28
41,python,2
42,answer,2
43,documentation,34
44,reproduce,2
45,so,2
46,through,2
47,projects,10
48,structure,9
49,year,2
50,including,2
51,beyond,2
52,than,3
53,your,22
54,include,11
55,why,2
56,follow,2
57,much,2
58,all,3
59,repository,2
60,leaving,2
61,and,46
62,collaborator,4
63,data,71
64,useful,5
65,inherited,3
66,users,2
67,without,2
68,logs,3
69,readme,24
70,template,2
71,create,4
72,placed,2
73,not,6
74,simple,2
75,came,2
76,lab,2
77,given,2
78,procedures,3
79,scripts,3
80,required,2
81,mammal,2
82,imagine,2
83,analysed,3
84,formats,2
85,readmes,2
86,make,5
87,future,7
88,require,2
89,level,3
90,long,2
91,versions,4
92,ensure,3
93,subfolders,3
94,text,17
95,downloaded,3
96,new,7
97,have,8
98,ever,2
99,automated,2
100,assumptions,3
101,old,2
102,researchers,2
103,created,3
104,allow,2
105,navigate,5
106,approaches,2
107,contact,11
108,instructor,2
109,these,9
110,original,4
111,understand,9
112,or,23
113,identify,2
114,time,3
115,top,2
116,what,26
117,the,79
118,also,3
119,will,8
120,were,8
121,requirements,2
122,before,2
123,descriptions,2
124,remember,3
125,generated,7
126,may,14
127,dataset,9
128,made,2
129,good,4
130,discuss,2
131,tools,3
132,datasets,6
133,results,7
134,next,2
135,questions,4
136,used,6
137,different,6
138,better,2
139,easier,2
140,get,2
141,dr,2
142,last,5
143,needs,2
144,along,3
145,episode,2
146,with,8
147,storage,2
148,provide,2
149,source,2
150,able,3
151,folder,12
152,several,2
153,there,3
154,standard,4
155,where,10
156,files,22
157,changes,2
158,on,6
159,describe,2
160,tabular,2
161,else,2
162,some,5
163,would,4
164,few,2
165,operating,3
166,most,3
167,metadata,16
168,provenance,8
169,manually,2
170,variables,3
171,readmetxt,4
172,parameter,3
173,updated,6
174,records,2
175,obtained,2
176,that,15
177,date,4
178,other,9
179,often,3
180,out,3
181,did,2
182,if,8
183,processing,2
184,sources,6
185,as,12
186,caution,3
187,change,3
188,you,23
189,microsoft,2
190,many,4
191,stored,5
192,find,2
193,such,6
194,names,5
195,effective,2
196,learners,4
197,however,3
198,but,5
199,found,2
200,lesson,3
201,processed,2
202,poorly,2
203,settings,4
204,document,9
205,one,5
206,additional,5
207,should,15
208,package,2
209,from,10
210,repeat,2
211,might,2
212,decisions,2
213,primary,2
214,i,4
215,this,11
216,documented,2
217,outputs,3
218,later,4
219,analysis,17
220,possible,4
221,example,15
222,at,3
223,written,2
224,description,9
225,graphical,2
226,someone,3
227,an,3
228,version,4
229,area,2
230,add,3
231,need,9
232,projectlevel,2
233,their,5
234,current,3
235,work,2
236,was,17
237,provides,4
238,folders,2
239,track,2
240,lead,2
241,focus,2
242,number,3
243,record,4
244,help,3
245,store,3
246,between,4
247,them,2
248,solution,5
249,toplevel,2
250,explain,3
251,storing,4
252,locations,2
253,keep,3
254,still,2
255,a,51
256,collected,10
257,easy,4
258,paper,2
259,goal,2
260,of,33
261,important,8
262,consider,3
263,study,2
264,steps,3
265,about,9
266,project,47
267,well,2
268,we,6
269,now,4
270,months,2
271,context,2
272,helps,6
273,rename,2
274,challenge,6
275,contains,4
276,modifications,2
277,file,31
278,discussion,2
279,headers,3
280,parameters,3
281,using,6
282,software,12
283,for,28
284,use,4
285,name,6
286,our,3
287,open,3
288,reduces,2
289,purpose,2
290,who,2
291,how,12
292,fill,2
293,correct,2
294,during,4
295,it,26
296,no,3
297,research,6
298,documenting,3
299,details,7
