,word,freq
0,they,4
1,over,3
2,any,4
3,write,2
4,location,2
5,makes,4
6,in,31
7,collaborators,2
8,to,52
9,which,8
10,can,15
11,people,2
12,simplest,2
13,mixed,2
14,characteristics,2
15,browser,5
16,be,19
17,are,14
18,depend,2
19,imagepng,9
20,macos,6
21,stage,2
22,belong,2
23,tab,9
24,contain,2
25,try,2
26,six,2
27,by,8
28,references,4
29,enter,4
30,know,5
31,depends,2
32,when,4
33,do,3
34,callout,3
35,is,29
36,answer,3
37,documentation,9
38,so,2
39,projects,8
40,structure,23
41,permanently,2
42,moving,3
43,confusing,2
44,than,7
45,your,13
46,dedicated,2
47,include,2
48,userid,4
49,command,2
50,above,2
51,why,3
52,back,2
53,categorical,2
54,all,6
55,and,34
56,rightclick,9
57,collaborator,3
58,move,10
59,poor,7
60,press,9
61,data,23
62,useful,3
63,inherited,2
64,without,4
65,added,2
66,destination,4
67,same,5
68,cut,3
69,create,5
70,difficult,2
71,scriptpy,3
72,not,7
73,has,2
74,lab,2
75,scripts,4
76,each,2
77,eg,3
78,after,3
79,unnecessary,9
80,click,4
81,rawimagestemp,2
82,processeddata,3
83,miscellaneous,4
84,make,5
85,previous,2
86,newcastle,2
87,like,3
88,text,16
89,new,12
90,have,5
91,examples,2
92,select,10
93,old,2
94,want,2
95,delete,8
96,researchers,2
97,navigate,7
98,instructor,3
99,creating,2
100,analyses,2
101,these,3
102,original,3
103,confirm,3
104,systems,4
105,understand,9
106,up,2
107,or,17
108,identify,5
109,time,4
110,leftclick,2
111,what,8
112,the,99
113,rawdata,9
114,will,8
115,deleted,3
116,before,4
117,bin,8
118,moved,4
119,generated,2
120,analysistxt,2
121,datacsv,2
122,may,6
123,dataset,4
124,more,9
125,good,14
126,material,3
127,look,2
128,windows,6
129,keyboard,2
130,discuss,4
131,next,2
132,results,4
133,questions,2
134,different,6
135,working,2
136,better,3
137,deletion,5
138,shallow,2
139,minutes,3
140,easier,7
141,archive,6
142,figures,6
143,explorer,2
144,paste,3
145,episode,4
146,into,3
147,with,15
148,avoid,3
149,consistent,3
150,introducing,2
151,accumulate,2
152,meaningful,3
153,imgpng,5
154,remove,6
155,able,3
156,system,2
157,personal,2
158,folder,66
159,design,2
160,renaming,4
161,there,4
162,levels,2
163,where,4
164,files,36
165,leftclicking,2
166,on,16
167,revised,2
168,some,3
169,become,2
170,alternative,2
171,would,10
172,recycle,4
173,raw,5
174,operating,4
175,specific,2
176,maintain,2
177,most,5
178,types,3
179,metadata,2
180,chance,2
181,choose,4
182,reasonable,2
183,updated,2
184,shortcuts,2
185,code,3
186,best,3
187,consistency,3
188,that,11
189,other,3
190,often,6
191,because,2
192,if,15
193,as,11
194,even,2
195,existing,4
196,caution,4
197,you,23
198,many,5
199,stored,5
200,unclear,3
201,find,4
202,such,5
203,organisation,7
204,names,10
205,learners,5
206,temporary,4
207,content,2
208,however,4
209,but,3
210,elsewhere,3
211,processed,4
212,settings,2
213,one,5
214,clear,2
215,common,4
216,should,9
217,confusion,2
218,observations,2
219,from,6
220,might,2
221,prompted,2
222,i,3
223,this,15
224,outputs,4
225,later,3
226,analysis,10
227,possible,5
228,single,2
229,example,8
230,objectives,2
231,problems,3
232,at,6
233,written,2
234,graphical,3
235,an,2
236,need,8
237,together,3
238,their,2
239,work,4
240,difficulty,2
241,folders,30
242,drag,4
243,plots,2
244,looking,3
245,focus,2
246,rather,4
247,notes,3
248,help,2
249,solution,4
250,locations,3
251,still,2
252,empty,3
253,a,49
254,only,3
255,choosing,2
256,paper,2
257,of,23
258,important,3
259,consider,4
260,project,29
261,result,2
262,we,12
263,now,2
264,months,2
265,rename,8
266,mouse,2
267,nesting,2
268,three,2
269,challenge,5
270,issues,2
271,discussion,2
272,file,22
273,structures,11
274,matter,2
275,using,8
276,software,5
277,here,2
278,for,18
279,use,4
280,name,8
281,deleting,2
282,instead,2
283,right,2
284,behaviour,2
285,purpose,3
286,how,12
287,allows,2
288,talks,2
289,correct,3
290,screen,2
291,it,11
292,first,3
293,no,4
294,research,2
295,approach,4
