,word,freq
0,understanding,2
1,information,6
2,within,2
3,they,6
4,makes,2
5,in,14
6,shows,2
7,own,3
8,collaborators,2
9,to,29
10,which,2
11,can,15
12,share,3
13,people,2
14,part,2
15,be,12
16,does,2
17,navigating,2
18,are,15
19,box,3
20,macos,5
21,tab,2
22,contain,2
23,by,3
24,do,4
25,callout,2
26,desktop,3
27,is,11
28,begin,3
29,through,3
30,projects,4
31,linux,3
32,structure,5
33,your,9
34,include,2
35,why,4
36,pane,3
37,and,34
38,uk,2
39,poor,2
40,move,2
41,data,44
42,inherited,2
43,researcher,3
44,users,2
45,without,3
46,computers,5
47,members,2
48,same,3
49,regardless,2
50,appropriate,2
51,anything,2
52,navigation,5
53,not,4
54,organise,6
55,institution,2
56,has,2
57,practical,3
58,finding,3
59,click,2
60,request,2
61,make,3
62,policies,2
63,newcastle,3
64,list,3
65,window,2
66,text,5
67,new,2
68,have,5
69,examples,2
70,pictures,3
71,researchers,3
72,navigate,4
73,instructor,3
74,these,3
75,systems,2
76,understand,4
77,or,6
78,interface,2
79,time,2
80,top,2
81,what,8
82,the,57
83,rawdata,3
84,scenario,2
85,demonstrate,2
86,will,9
87,before,3
88,may,2
89,resources,2
90,address,3
91,dataset,6
92,typically,2
93,more,4
94,good,4
95,windows,7
96,datasetcsv,2
97,questions,2
98,used,2
99,university,2
100,easier,3
101,explorer,14
102,into,2
103,episode,3
104,with,8
105,storage,9
106,figurejpg,2
107,provide,2
108,locate,4
109,encounter,2
110,digital,2
111,bar,3
112,called,2
113,various,2
114,able,3
115,system,10
116,personal,3
117,folder,11
118,several,2
119,organised,6
120,where,5
121,files,22
122,on,13
123,some,4
124,would,4
125,funding,2
126,operating,3
127,specific,2
128,most,3
129,particular,2
130,that,6
131,managing,2
132,other,2
133,quickly,2
134,out,2
135,icon,2
136,way,2
137,downloads,4
138,documents,3
139,as,6
140,requested,2
141,form,2
142,contents,2
143,you,17
144,many,4
145,stored,3
146,find,4
147,such,2
148,organisation,3
149,finder,2
150,names,2
151,computer,4
152,learners,2
153,however,2
154,but,2
155,manager,2
156,improve,2
157,lesson,6
158,drives,4
159,one,3
160,common,2
161,should,3
162,introduction,2
163,from,5
164,sure,2
165,i,5
166,this,12
167,objectives,2
168,problems,4
169,at,3
170,improving,2
171,graphical,4
172,an,2
173,version,2
174,area,2
175,need,2
176,current,2
177,essential,2
178,work,3
179,was,3
180,provides,2
181,folders,18
182,management,17
183,help,2
184,store,3
185,between,2
186,explain,2
187,whether,2
188,locations,3
189,keep,2
190,search,6
191,a,33
192,only,2
193,public,2
194,choosing,2
195,of,27
196,important,5
197,postgraduateshttpswwwnclacuklibraryacademicsandresearcherslrsrdmplanningpgr,2
198,project,8
199,result,2
200,we,10
201,helps,2
202,its,3
203,wellorganised,2
204,contains,2
205,discussion,3
206,file,38
207,using,6
208,wasted,2
209,for,15
210,use,6
211,open,5
212,techniques,2
213,how,9
214,throughout,2
215,it,9
216,research,14
