,word,freq
0,understanding,3
1,cleaned,3
2,information,8
3,they,2
4,bitmap,2
5,commonly,3
6,over,2
7,longer,2
8,location,2
9,any,2
10,in,19
11,to,42
12,which,3
13,can,23
14,already,3
15,access,6
16,share,3
17,slow,2
18,advantages,5
19,save,2
20,browser,2
21,shared,9
22,be,15
23,does,2
24,attachments,2
25,video,2
26,are,13
27,compress,6
28,service,5
29,macos,2
30,tab,7
31,easily,2
32,us,2
33,column,2
34,measure,4
35,represent,2
36,by,7
37,think,3
38,know,2
39,when,10
40,do,3
41,lossy,4
42,desktop,3
43,callout,2
44,is,41
45,documentation,2
46,smaller,7
47,option,3
48,projects,5
49,moving,2
50,than,5
51,your,14
52,occupies,2
53,grow,2
54,include,3
55,why,3
56,generally,2
57,ways,2
58,much,4
59,servers,2
60,all,2
61,and,36
62,rightclick,4
63,collaborator,2
64,link,3
65,lossless,5
66,data,58
67,useful,4
68,without,4
69,same,3
70,particularly,2
71,situations,2
72,appropriate,5
73,archiving,4
74,permission,2
75,difficult,2
76,not,9
77,images,5
78,gb,3
79,patterns,2
80,sharing,3
81,simple,2
82,institution,3
83,recipient,2
84,has,5
85,removing,2
86,reduce,9
87,intermediate,2
88,after,2
89,zip,5
90,offer,2
91,formats,11
92,make,7
93,image,3
94,newcastle,2
95,require,3
96,take,4
97,text,20
98,have,6
99,examples,5
100,detail,2
101,select,2
102,viewing,2
103,care,2
104,reduction,5
105,rarely,2
106,readable,2
107,environments,4
108,created,3
109,instructor,5
110,these,8
111,original,4
112,improved,2
113,intended,2
114,systems,3
115,understand,2
116,up,3
117,or,17
118,identify,2
119,time,2
120,what,10
121,the,86
122,compressing,3
123,group,2
124,demonstrate,3
125,also,3
126,size,22
127,will,8
128,requirements,7
129,links,2
130,limited,3
131,before,6
132,every,3
133,sharepoint,5
134,institutional,4
135,may,12
136,address,2
137,dataset,8
138,more,9
139,discuss,5
140,tools,7
141,png,2
142,confidential,3
143,datasets,9
144,space,4
145,results,3
146,significantly,4
147,next,2
148,used,6
149,different,9
150,university,2
151,easier,2
152,archive,3
153,last,5
154,email,12
155,episode,3
156,with,4
157,storage,28
158,provide,2
159,send,6
160,encounter,2
161,check,2
162,mb,5
163,very,4
164,wrong,3
165,format,8
166,personal,4
167,folder,8
168,informed,2
169,where,2
170,files,24
171,losing,2
172,show,2
173,on,11
174,some,5
175,determine,2
176,few,3
177,suitable,5
178,types,2
179,most,2
180,metadata,3
181,globus,3
182,problem,2
183,attachment,4
184,choose,3
185,ahead,2
186,transferring,8
187,encrypt,2
188,sending,3
189,limits,3
190,best,2
191,that,7
192,date,2
193,duplicate,2
194,amount,2
195,measured,2
196,works,2
197,often,12
198,because,2
199,did,2
200,documents,2
201,if,5
202,as,24
203,rsync,2
204,contents,2
205,both,2
206,you,23
207,many,4
208,stored,2
209,properties,2
210,such,8
211,courses,2
212,changing,3
213,computer,2
214,learners,4
215,temporary,2
216,however,2
217,but,5
218,manager,2
219,large,13
220,lesson,2
221,drives,3
222,document,2
223,one,2
224,additional,4
225,common,5
226,should,8
227,onedrive,5
228,compressed,4
229,from,2
230,copy,2
231,sizes,5
232,commandline,2
233,binary,2
234,decisions,3
235,i,3
236,too,2
237,this,11
238,possible,2
239,example,10
240,an,8
241,network,3
242,version,2
243,need,6
244,always,3
245,view,2
246,folders,2
247,cloud,2
248,looking,2
249,number,2
250,efficiently,3
251,answers,2
252,dropoff,3
253,preserves,2
254,management,5
255,between,2
256,larger,2
257,solution,5
258,security,2
259,storing,4
260,again,2
261,a,43
262,only,4
263,easy,2
264,choosing,4
265,of,24
266,important,3
267,tb,3
268,hpc,5
269,consider,2
270,tradeoffs,2
271,project,8
272,about,3
273,method,3
274,transfers,2
275,well,2
276,methods,5
277,we,11
278,now,3
279,others,2
280,helps,3
281,transfer,18
282,small,3
283,challenge,5
284,file,54
285,compression,27
286,using,7
287,software,2
288,for,35
289,use,3
290,name,2
291,deleting,2
292,affect,2
293,disadvantages,5
294,reduces,2
295,little,3
296,how,12
297,speed,2
298,it,14
299,no,2
300,research,14
301,mp,3
